,question,ans,blanks,a),b),c),d),e)
78118,We have a meeting _____ 11:00 every morning. ,b,1,We have a meeting in 11:00 every morning.,We have a meeting at 11:00 every morning.,We have a meeting on 11:00 every morning.,,
78119,The Summer Palace attracts a lot of _____ every year. ,b,1,The Summer Palace attracts a lot of rubbish every year.,The Summer Palace attracts a lot of tourists every year.,The Summer Palace attracts a lot of tents every year.,The Summer Palace attracts a lot of oceans every year.,
78120,"If you say a girl is _____ , you mean she is beautiful and attractive. ",a,1,"If you say a girl is lovely , you mean she is beautiful and attractive.","If you say a girl is wise , you mean she is beautiful and attractive.","If you say a girl is funny , you mean she is beautiful and attractive.",,
78121,Look at the map. _____ direction are the two countries from China?,d,1,Look at the map. When direction are the two countries from China?,Look at the map. How direction are the two countries from China?,Look at the map. Who direction are the two countries from China?,Look at the map. What direction are the two countries from China?,
78122,I began to work in Shanghai in the year _____ HongKong was returned to China. ,d,1,I began to work in Shanghai in the year that HongKong was returned to China.,I began to work in Shanghai in the year which HongKong was returned to China.,I began to work in Shanghai in the year where HongKong was returned to China.,I began to work in Shanghai in the year when HongKong was returned to China.,
78123,This is _____ nose. ,c,1,This is me nose.,This is I nose.,This is my nose.,,
78124,"No matter _____ you want, your parents are willing to get it for you. ",b,1,"No matter who you want, your parents are willing to get it for you.","No matter what you want, your parents are willing to get it for you.","No matter where you want, your parents are willing to get it for you.","No matter when you want, your parents are willing to get it for you.",
78125,I was so tired that I kept _____ . ,a,1,I was so tired that I kept yawning .,I was so tired that I kept grinning .,I was so tired that I kept smiling .,I was so tired that I kept eating .,
78126,The boy has _____ /fed/ the animal. ,b,1,The boy has fat /fed/ the animal.,The boy has fed /fed/ the animal.,The boy has felt /fed/ the animal.,The boy has feed /fed/ the animal.,
78127,Beijing is _____ capital of China. ,c,1,Beijing is a capital of China.,Beijing is an capital of China.,Beijing is the capital of China.,Beijing is / capital of China.,
78128,This is _____ pear. It's yellow.,b,1,This is an pear. It's yellow.,This is a pear. It's yellow.,This is two pear. It's yellow.,,
78129,"Give the pen to _____ , please. ",b,1,"Give the pen to I , please.","Give the pen to me , please.","Give the pen to my , please.","Give the pen to he , please.",
78130,Look at these tigers. Can you draw _____ ?,c,1,Look at these tigers. Can you draw they ?,Look at these tigers. Can you draw there ?,Look at these tigers. Can you draw them ?,,
78131,"You might be the most mentally alive person on Earth, but that can be no _____ if you feel lonely and unhappy. ",d,1,"You might be the most mentally alive person on Earth, but that can be no freedom if you feel lonely and unhappy.","You might be the most mentally alive person on Earth, but that can be no achievement if you feel lonely and unhappy.","You might be the most mentally alive person on Earth, but that can be no treatment if you feel lonely and unhappy.","You might be the most mentally alive person on Earth, but that can be no comfort if you feel lonely and unhappy.",
78132,Here _____ black rules. They're Jane's.,d,1,Here be black rules. They're Jane's.,Here am black rules. They're Jane's.,Here is black rules. They're Jane's.,Here are black rules. They're Jane's.,
78133,He felt relaxed and comfortable to be back in _____ surroundings. ,d,1,He felt relaxed and comfortable to be back in famous surroundings.,He felt relaxed and comfortable to be back in difficult surroundings.,He felt relaxed and comfortable to be back in unusual surroundings.,He felt relaxed and comfortable to be back in familiar surroundings.,
78134,We often _____ science lessons in it. ,c,1,We often play science lessons in it.,We often take science lessons in it.,We often have science lessons in it.,We often get science lessons in it.,
78135,The idea of traveling through _____ space to other planets interests many people today. ,c,1,The idea of traveling through a space to other planets interests many people today.,The idea of traveling through the space to other planets interests many people today.,The idea of traveling through / space to other planets interests many people today.,The idea of traveling through one space to other planets interests many people today.,
78136," _____ it is expected that students come into university with the ability to take a good set of notes, this is not always the case．",d,1,"When it is expected that students come into university with the ability to take a good set of notes, this is not always the case．","As it is expected that students come into university with the ability to take a good set of notes, this is not always the case．","For it is expected that students come into university with the ability to take a good set of notes, this is not always the case．","While it is expected that students come into university with the ability to take a good set of notes, this is not always the case．",
78137,This _____ my garden. ,b,1,This am my garden.,This is my garden.,This are my garden.,,
78138,"In order to keep healthy, you should eat _____ fast food. ",b,1,"In order to keep healthy, you should eat few fast food.","In order to keep healthy, you should eat little fast food.","In order to keep healthy, you should eat some fast food.","In order to keep healthy, you should eat any fast food.",
78139,Mary is _____ outgoing girl. ,b,1,Mary is a outgoing girl.,Mary is an outgoing girl.,Mary is the outgoing girl.,Mary is \ outgoing girl.,
78140,Li Dan can play _____ piano very well. ,d,1,Li Dan can play / piano very well.,Li Dan can play a piano very well.,Li Dan can play an piano very well.,Li Dan can play the piano very well.,
78141,"Get up early, _____ you'll be late for school. ",c,1,"Get up early, so you'll be late for school.","Get up early, and you'll be late for school.","Get up early, or you'll be late for school.","Get up early, but you'll be late for school.",
78142,I agree _____ you. ,d,1,I agree at you.,I agree to you.,I agree on you.,I agree with you.,
78143,He _____ TV last night. ,c,1,He watch TV last night.,He watches TV last night.,He watched TV last night.,He watching TV last night.,
78144,"It is uncertain _____ side effect the medicine will bring about, although about two thousand patients have taken it. ",c,1,"It is uncertain that side effect the medicine will bring about, although about two thousand patients have taken it.","It is uncertain how side effect the medicine will bring about, although about two thousand patients have taken it.","It is uncertain what side effect the medicine will bring about, although about two thousand patients have taken it.","It is uncertain whether side effect the medicine will bring about, although about two thousand patients have taken it.",
78145," _____ is reported, the number of smokers has dropped by 17 percent in one year. ",b,1,"At is reported, the number of smokers has dropped by 17 percent in one year.","As is reported, the number of smokers has dropped by 17 percent in one year.","What is reported, the number of smokers has dropped by 17 percent in one year.","That is reported, the number of smokers has dropped by 17 percent in one year.",
78146,"He turned out to be very successful, _____ was more than we could expect. ",b,1,"He turned out to be very successful, what was more than we could expect.","He turned out to be very successful, which was more than we could expect.","He turned out to be very successful, that was more than we could expect.","He turned out to be very successful, this was more than we could expect.",
78147,I'm not going with you because I'm not _____ today. ,a,1,I'm not going with you because I'm not available today.,I'm not going with you because I'm not simple today.,I'm not going with you because I'm not busy today.,I'm not going with you because I'm not good today.,
78148,Why not talk to your grandson online? You _____ chat on QQ. ,b,1,Why not talk to your grandson online? You need chat on QQ.,Why not talk to your grandson online? You can chat on QQ.,Why not talk to your grandson online? You should chat on QQ.,Why not talk to your grandson online? You must chat on QQ.,
78149,To _____ something means to give the picture of it. ,c,1,To compare something means to give the picture of it.,To describe something means to give the picture of it.,To draw something means to give the picture of it.,To consider something means to give the picture of it.,
78150,Hi! I'm Kitty. I like _____ in winter.,c,1,Hi! I'm Kitty. I like sing in winter.,Hi! I'm Kitty. I like swim in winter.,Hi! I'm Kitty. I like skating in winter.,,
78151,I'll behave toward them _____ I would like to be treated. ,c,1,I'll behave toward them till I would like to be treated.,I'll behave toward them if I would like to be treated.,I'll behave toward them as I would like to be treated.,I'll behave toward them since I would like to be treated.,
78152,May is after _____ . ,b,1,May is after June .,May is after Apirl .,May is after July .,May is after March .,
78153,What subject do you choose for your school _____ /'prɒdʒekt/? ,c,1,What subject do you choose for your school private /'prɒdʒekt/?,What subject do you choose for your school primary /'prɒdʒekt/?,What subject do you choose for your school project /'prɒdʒekt/?,What subject do you choose for your school purpose /'prɒdʒekt/?,
78154,"I'm watching the program about ""One Belt and One Road"". My parents have nothing _____ it.",b,1,"I'm watching the program about ""One Belt and One Road"". My parents have nothing off it.","I'm watching the program about ""One Belt and One Road"". My parents have nothing against it.","I'm watching the program about ""One Belt and One Road"". My parents have nothing without it.",,
78155,You can see many famous paintings in the art _____ /mju:'zɪəm/,c,1,You can see many famous paintings in the art message /mju:'zɪəm/,You can see many famous paintings in the art movie /mju:'zɪəm/,You can see many famous paintings in the art museum /mju:'zɪəm/,You can see many famous paintings in the art monkey /mju:'zɪəm/,
78156,Scrooge only cares about _____ or not he can make more money. ,c,1,Scrooge only cares about that or not he can make more money.,Scrooge only cares about if or not he can make more money.,Scrooge only cares about whether or not he can make more money.,,
78157,The farmers grow _____ /'dɪfərənt/kinds of vegetables on the farm. ,a,1,The farmers grow different /'dɪfərənt/kinds of vegetables on the farm.,The farmers grow delicious /'dɪfərənt/kinds of vegetables on the farm.,The farmers grow difficult /'dɪfərənt/kinds of vegetables on the farm.,The farmers grow disappoint /'dɪfərənt/kinds of vegetables on the farm.,
78158,"I like _____ , because they're funny. ",c,1,"I like cartoon , because they're funny.","I like comedy , because they're funny.","I like cartoons , because they're funny.",,
78159,Please turn right _____ the crossing. ,a,1,Please turn right at the crossing.,Please turn right in the crossing.,Please turn right on the crossing.,,
78160,Was it at five o'clock _____ the fire broke out?,b,1,Was it at five o'clock when the fire broke out?,Was it at five o'clock that the fire broke out?,Was it at five o'clock whether the fire broke out?,Was it at five o'clock which the fire broke out?,
78161,The engineers _____ much time and energy working on the difficult problem. ,b,1,The engineers protect much time and energy working on the difficult problem.,The engineers spend much time and energy working on the difficult problem.,The engineers provide much time and energy working on the difficult problem.,,
78162,We hope to get such a tool _____ he is using. ,c,1,We hope to get such a tool where he is using.,We hope to get such a tool that he is using.,We hope to get such a tool as he is using.,We hope to get such a tool which he is using.,
78163,How far is _____ from your office to the bank?,b,1,How far is that from your office to the bank?,How far is it from your office to the bank?,How far is there from your office to the bank?,How far is this from your office to the bank?,
78164,Sue keeps her _____ /heə/ short and looks smart. ,b,1,Sue keeps her here /heə/ short and looks smart.,Sue keeps her hair /heə/ short and looks smart.,Sue keeps her hour /heə/ short and looks smart.,Sue keeps her heat /heə/ short and looks smart.,
78165,The girl _____ in going to school with the help of Project Hope. ,b,1,The girl successes in going to school with the help of Project Hope.,The girl succeeded in going to school with the help of Project Hope.,The girl successful in going to school with the help of Project Hope.,The girl success in going to school with the help of Project Hope.,
78166,My friend _____ watch sport on TV with her dad. ,c,1,My friend do watch sport on TV with her dad.,My friend don't watch sport on TV with her dad.,My friend doesn't watch sport on TV with her dad.,,
78167,Our teachers are very strict _____ us. ,a,1,Our teachers are very strict with us.,Our teachers are very strict to us.,Our teachers are very strict on us.,,
78168,Hardly had Glucia finished his speech _____ the audience started applauding. ,d,1,Hardly had Glucia finished his speech that the audience started applauding.,Hardly had Glucia finished his speech as the audience started applauding.,Hardly had Glucia finished his speech since the audience started applauding.,Hardly had Glucia finished his speech when the audience started applauding.,
78169,I hope you will _____ well soon. ,c,1,I hope you will getting well soon.,I hope you will gets well soon.,I hope you will get well soon.,,
78170,I have _____ English book. ,b,1,I have a English book.,I have an English book.,I have the English book.,,
78171,History is the best teacher. It _____ records the development path of each country and foretells the future to us.,c,1,History is the best teacher. It apparently records the development path of each country and foretells the future to us.,History is the best teacher. It conventionally records the development path of each country and foretells the future to us.,History is the best teacher. It faithfully records the development path of each country and foretells the future to us.,History is the best teacher. It eventually records the development path of each country and foretells the future to us.,
78172,It is known to all that the day becomes shorter and shorter _____ winter comes. ,b,1,It is known to all that the day becomes shorter and shorter before winter comes.,It is known to all that the day becomes shorter and shorter when winter comes.,It is known to all that the day becomes shorter and shorter until winter comes.,It is known to all that the day becomes shorter and shorter since winter comes.,
78173,I have a toy. It _____ a robot.,a,1,I have a toy. It has a robot.,I have a toy. It are a robot.,I have a toy. It is a robot.,,
78174,Mike is _____ a book in the study. ,a,1,Mike is reading a book in the study.,Mike is looking a book in the study.,Mike is see a book in the study.,,
78175,"What's wrong _____ you, Miss? ",c,1,"What's wrong on you, Miss?","What's wrong of you, Miss?","What's wrong with you, Miss?",,
78176,Look! A pair of spot shoes _____ under the bed. ,b,1,Look! A pair of spot shoes are under the bed.,Look! A pair of spot shoes is under the bed.,Look! A pair of spot shoes does under the bed.,Look! A pair of spot shoes do under the bed.,
78177,Lily is a friend of _____ . ,a,1,Lily is a friend of hers .,Lily is a friend of herself .,Lily is a friend of she .,,
78178,The boy is _____ . ,a,1,The boy is short .,The boy is cheap .,The boy is fresh .,,
78179,The cat _____ fish . ,a,1,The cat likes fish .,The cat like fish .,The cat is fish .,,
78180,Dale's books are _____ the floor. ,c,1,Dale's books are in the floor.,Dale's books are under the floor.,Dale's books are on the floor.,Dale's books are to the floor.,
78181,Can I also _____ his pen pal？,c,1,Can I also is his pen pal？,Can I also are his pen pal？,Can I also be his pen pal？,,
78182,Peter is a good student. He is _____ late for school.,a,1,Peter is a good student. He is never late for school.,Peter is a good student. He is always late for school.,Peter is a good student. He is sometimes late for school.,Peter is a good student. He is usually late for school.,
78183,I like the food. It _____ good.,b,1,I like the food. It sells good.,I like the food. It tastes good.,I like the food. It looks good.,I like the food. It sounds good.,
78184,His plan is such a good one _____ we all agreed to accept it. ,c,1,His plan is such a good one as we all agreed to accept it.,His plan is such a good one and we all agreed to accept it.,His plan is such a good one that we all agreed to accept it.,His plan is such a good one so we all agreed to accept it.,
78185,"The couch of thefootball team _____ to resign to take responsibility for the failure, but it was rejected. ",a,1,"The couch of thefootball team offered to resign to take responsibility for the failure, but it was rejected.","The couch of thefootball team managed to resign to take responsibility for the failure, but it was rejected.","The couch of thefootball team needed to resign to take responsibility for the failure, but it was rejected.","The couch of thefootball team afforded to resign to take responsibility for the failure, but it was rejected.",
78186,"In the UK, this is the _____ floor. But in the US, this is the first floor.",a,1,"In the UK, this is the ground floor. But in the US, this is the first floor.","In the UK, this is the first floor. But in the US, this is the first floor.","In the UK, this is the second floor. But in the US, this is the first floor.",,
78187,Nice to _____ you again. ,a,1,Nice to meet you again.,Nice to look you again.,Nice to see you again.,,
78188,The little boy wants to get a job _____ radio when he grows up. ,c,1,The little boy wants to get a job on radio when he grows up.,The little boy wants to get a job from radio when he grows up.,The little boy wants to get a job in radio when he grows up.,The little boy wants to get a job of radio when he grows up.,
78189,You can see lots of _____ on this map. ,b,1,You can see lots of country on this map.,You can see lots of countries on this map.,You can see lots of countryside on this map.,,
78190,She had the good _____ to be free from illness all her life. ,d,1,She had the good destiny to be free from illness all her life.,She had the good luck to be free from illness all her life.,She had the good chance to be free from illness all her life.,She had the good fortune to be free from illness all her life.,
78191,Timmy wants to be _____ UNICEF volunteer to help the children all over the world. ,a,1,Timmy wants to be a UNICEF volunteer to help the children all over the world.,Timmy wants to be an UNICEF volunteer to help the children all over the world.,Timmy wants to be the UNICEF volunteer to help the children all over the world.,Timmy wants to be / UNICEF volunteer to help the children all over the world.,
78192,My mother makes it a _____ to take the dog for a walk in the park every morning. ,c,1,My mother makes it a mistake to take the dog for a walk in the park every morning.,My mother makes it a order to take the dog for a walk in the park every morning.,My mother makes it a rule to take the dog for a walk in the park every morning.,My mother makes it a show to take the dog for a walk in the park every morning.,
78193,I don't know _____ he will come. ,b,1,I don't know that he will come.,I don't know whether he will come.,I don't know weather he will come.,I don't know who he will come.,
78194,"""You _____ have a wrong number,"" she said. ""There's no one of that name here. """,c,1,"""You need have a wrong number,"" she said. ""There's no one of that name here. ""","""You can have a wrong number,"" she said. ""There's no one of that name here. ""","""You must have a wrong number,"" she said. ""There's no one of that name here. ""","""You would have a wrong number,"" she said. ""There's no one of that name here. """,
78195,John: Who's your best friend? Mike: _____ . ,d,1,John: Who's your best friend? Mike: Red .,John: Who's your best friend? Mike: White .,John: Who's your best friend? Mike: Great .,John: Who's your best friend? Mike: Amy .,
78196,This pair of jeans _____ you very well. ,b,1,This pair of jeans fit you very well.,This pair of jeans fits you very well.,This pair of jeans match you very well.,This pair of jeans matches you very well.,
78197,Check what you have written _____ you hand in your application form. ,b,1,Check what you have written since you hand in your application form.,Check what you have written before you hand in your application form.,Check what you have written after you hand in your application form.,Check what you have written while you hand in your application form.,
78198,"Since there isn't enough _____ to show that this medicine works in children, it shouldn't be given to them．",d,1,"Since there isn't enough target to show that this medicine works in children, it shouldn't be given to them．","Since there isn't enough symbol to show that this medicine works in children, it shouldn't be given to them．","Since there isn't enough assumption to show that this medicine works in children, it shouldn't be given to them．","Since there isn't enough evidence to show that this medicine works in children, it shouldn't be given to them．",
78199,_____ this your ruler ?,a,1,Is this your ruler ?,Are this your ruler ?,What this your ruler ?,How this your ruler ?,
78200, _____ are you reading in the classroom? ,d,1,Who are you reading in the classroom?,When are you reading in the classroom?,How are you reading in the classroom?,What are you reading in the classroom?,
78201,That is _____ interesting film. ,b,1,That is a interesting film.,That is an interesting film.,That is some interesting film.,,
78202,Would you like to stay with us for _____ National Day. ,d,1,Would you like to stay with us for a National Day.,Would you like to stay with us for an National Day.,Would you like to stay with us for the National Day.,Would you like to stay with us for / National Day.,
78203,Do you _____ get up late? ,a,1,Do you ever get up late?,Do you every get up late?,Do you never get up late?,,
78204,Ben is a _____ boy. No one would like to work with him.,c,1,Ben is a rich boy. No one would like to work with him.,Ben is a kind boy. No one would like to work with him.,Ben is a lazy boy. No one would like to work with him.,Ben is a bright boy. No one would like to work with him.,
78205,I'd like to dance _____ this music. ,c,1,I'd like to dance for this music.,I'd like to dance at this music.,I'd like to dance to this music.,I'd like to dance and this music.,
78206,Jane want to be a _____ to make business. ,b,1,Jane want to be a businessman to make business.,Jane want to be a businesswoman to make business.,Jane want to be a pilot to make business.,,
78207,Mrs. Hill usually stays _____ home.,d,1,Mrs. Hill usually stays / home.,Mrs. Hill usually stays in home.,Mrs. Hill usually stays on home.,Mrs. Hill usually stays at home.,
78208,It's sunny and warm _____ Sydney. ,b,1,It's sunny and warm under Sydney.,It's sunny and warm in Sydney.,It's sunny and warm on Sydney.,,
78209,What's your _____ subject? ,c,1,What's your like subject?,What's your most subject?,What's your favorite subject?,What's your good subject?,
78210,He is always _____ to others. ,c,1,He is always friend to others.,He is always friends to others.,He is always friendly to others.,He is always friendship to others.,
78211,Our teachers will have a _____ /ɪˈskʌʃ（ə）n/about how to have the sports meeting next week. ,a,1,Our teachers will have a discussion /ɪˈskʌʃ（ə）n/about how to have the sports meeting next week.,Our teachers will have a difference /ɪˈskʌʃ（ə）n/about how to have the sports meeting next week.,Our teachers will have a dentist /ɪˈskʌʃ（ə）n/about how to have the sports meeting next week.,Our teachers will have a describe /ɪˈskʌʃ（ə）n/about how to have the sports meeting next week.,
78212,Look at the clock. What _____ is it?,b,1,Look at the clock. What class is it?,Look at the clock. What time is it?,Look at the clock. What many is it?,,
78213,What can John _____ ?,d,1,What can John does ?,What can John is ?,What can John are ?,What can John do ?,
78214,"Andy, you must finish your homework _____ you play chess. ",a,1,"Andy, you must finish your homework before you play chess.","Andy, you must finish your homework so you play chess.","Andy, you must finish your homework until you play chess.","Andy, you must finish your homework though you play chess.",
78215,These _____ his pants. ,a,1,These are his pants.,These is his pants.,These am his pants.,,
78216,Things we don't want or need any more are _____ . ,a,1,Things we don't want or need any more are rubbish .,Things we don't want or need any more are rabbish .,Things we don't want or need any more are rabbit .,,
78217,It was Saturday. The _____ was fine. It was good for a trip.,b,1,It was Saturday. The weekend was fine. It was good for a trip.,It was Saturday. The weather was fine. It was good for a trip.,It was Saturday. The vacation was fine. It was good for a trip.,It was Saturday. The trip was fine. It was good for a trip.,
78218,We don't go to school _____ Friday. ,c,1,We don't go to school at Friday.,We don't go to school in Friday.,We don't go to school on Friday.,We don't go to school by Friday.,
78219,Turtles _____ live for one hundred years. ,a,1,Turtles often live for one hundred years.,Turtles never live for one hundred years.,Turtles soon live for one hundred years.,,
78220,We'll stay _____ a hotel. ,a,1,We'll stay in a hotel.,We'll stay on a hotel.,We'll stay to a hotel.,,
78221,Is there _____ a pound of coffee? ,c,1,Is there one a pound of coffee?,Is there two a pound of coffee?,Is there half a pound of coffee?,Is there quarter a pound of coffee?,
78222,Look _____ an English book. ,b,1,Look here an English book.,Look at an English book.,Look to an English book.,,
78223,I want to buy _____ postcards. ,a,1,I want to buy some postcards.,I want to buy any postcards.,I want to buy much postcards.,,
78224,"John, look at the time. _____ you play the piano at such a late hour?",a,1,"John, look at the time. Must you play the piano at such a late hour?","John, look at the time. Can you play the piano at such a late hour?","John, look at the time. May you play the piano at such a late hour?","John, look at the time. Need you play the piano at such a late hour?",
78225,"In a period of rebellion, teenagers tend to _____ themselves from their parents. ",a,1,"In a period of rebellion, teenagers tend to distance themselves from their parents.","In a period of rebellion, teenagers tend to realize themselves from their parents.","In a period of rebellion, teenagers tend to reward themselves from their parents.","In a period of rebellion, teenagers tend to survive themselves from their parents.",
78226,Mike _____ a new friend. ,b,1,Mike have a new friend.,Mike has a new friend.,Mike are a new friend.,,
78227,"We went up on the roof, from _____ we had a good view of the procession. ",a,1,"We went up on the roof, from where we had a good view of the procession.","We went up on the roof, from which we had a good view of the procession.","We went up on the roof, from there we had a good view of the procession.","We went up on the roof, from it we had a good view of the procession.",
78228, _____ nice fireworks!,c,1,How nice fireworks!,What's nice fireworks!,What nice fireworks!,,
78229,"Was it at the school gate, if I may ask, _____ you met your friends from your hometown？",b,1,"Was it at the school gate, if I may ask, where you met your friends from your hometown？","Was it at the school gate, if I may ask, that you met your friends from your hometown？","Was it at the school gate, if I may ask, which you met your friends from your hometown？","Was it at the school gate, if I may ask, ones you met your friends from your hometown？",
78230," _____ In fact, I think you are right. ",b,1,"Lately In fact, I think you are right.","Actually In fact, I think you are right.","Really In fact, I think you are right.",,
78231,We can find a _____ in the bedroom．,d,1,We can find a cupboard in the bedroom．,We can find a pan in the bedroom．,We can find a study in the bedroom．,We can find a bed in the bedroom．,
78232,There is a bridge _____ the river. ,a,1,There is a bridge over the river.,There is a bridge at the river.,There is a bridge in the river.,,
78233,Where _____ your mother yesterday? ,a,1,Where was your mother yesterday?,Where had your mother yesterday?,Where were your mother yesterday?,,
78234,Please write it _____ your book. ,c,1,Please write it to your book.,Please write it over your book.,Please write it in your book.,Please write it above your book.,
78235,I will buy two _____ . ,c,1,I will buy two box .,I will buy two boxs .,I will buy two boxes .,I will buy two boxe .,
78236," _____ everyone is here, let's begin the meeting. ",a,1,"Since everyone is here, let's begin the meeting.","When everyone is here, let's begin the meeting.","Because everyone is here, let's begin the meeting.","For everyone is here, let's begin the meeting.",
78237,This is the best book _____ I have read. ,a,1,This is the best book that I have read.,This is the best book whose I have read.,This is the best book which I have read.,This is the best book who I have read.,
78238,My brother and I _____ students. ,c,1,My brother and I am students.,My brother and I is students.,My brother and I are students.,,
78239,You'll be late for school _____ you hurry up. ,a,1,You'll be late for school unless you hurry up.,You'll be late for school as you hurry up.,You'll be late for school if you hurry up.,You'll be late for school until you hurry up.,
78240,"There are cases in which someone repeatedly threatened suicide and no one would listen and the individual, in despair, succeeded in his suicide _____ . ",a,1,"There are cases in which someone repeatedly threatened suicide and no one would listen and the individual, in despair, succeeded in his suicide attempt .","There are cases in which someone repeatedly threatened suicide and no one would listen and the individual, in despair, succeeded in his suicide reference .","There are cases in which someone repeatedly threatened suicide and no one would listen and the individual, in despair, succeeded in his suicide management .","There are cases in which someone repeatedly threatened suicide and no one would listen and the individual, in despair, succeeded in his suicide survey .",
78241,A good friend reaches for your hand and touches your _____ /hɑ:（r）t/. ,a,1,A good friend reaches for your hand and touches your heart /hɑ:（r）t/.,A good friend reaches for your hand and touches your hurt /hɑ:（r）t/.,A good friend reaches for your hand and touches your hole /hɑ:（r）t/.,A good friend reaches for your hand and touches your hit /hɑ:（r）t/.,
78242, _____ she will pass the exam. ,a,1,May she will pass the exam.,Maybe she will pass the exam.,Possible she will pass the exam.,,
78243,I feel that that period in my life was _____ valuable. ,a,1,I feel that that period in my life was extremely valuable.,I feel that that period in my life was normally valuable.,I feel that that period in my life was generally valuable.,I feel that that period in my life was astonishing valuable.,
78244,He has stayed in Beijing _____ five days. ,c,1,He has stayed in Beijing in five days.,He has stayed in Beijing since five days.,He has stayed in Beijing for five days.,He has stayed in Beijing with five days.,
78245,What’s the name _____ your school?,b,1,What’s the name on your school?,What’s the name of your school?,What’s the name about your school?,What’s the name for your school?,
78246, _____ favourite drink is milk. ,b,1,She favourite drink is milk.,Her favourite drink is milk.,She's favourite drink is milk.,,
78247,Both of the twins _____ /wə:k/ really hard. ,b,1,Both of the twins walk /wə:k/ really hard.,Both of the twins work /wə:k/ really hard.,Both of the twins word /wə:k/ really hard.,Both of the twins weak /wə:k/ really hard.,
78248,Can you pass the tea _____ me?,d,1,Can you pass the tea for me?,Can you pass the tea with me?,Can you pass the tea and me?,Can you pass the tea to me?,
78249,The giant is not kind _____ children. ,c,1,The giant is not kind for children.,The giant is not kind at children.,The giant is not kind to children.,,
78250,Bill Gates is from the _____ . ,b,1,Bill Gates is from the UN .,Bill Gates is from the US .,Bill Gates is from the PRC. .,Bill Gates is from the HK .,
78251,I like _____ with computers. ,c,1,I like work with computers.,I like worked with computers.,I like working with computers.,,
78252,The taxis in this city _____ in the same color. You can see them everywhere.,a,1,The taxis in this city are in the same color. You can see them everywhere.,The taxis in this city has in the same color. You can see them everywhere.,The taxis in this city is in the same color. You can see them everywhere.,The taxis in this city have in the same color. You can see them everywhere.,
78253,Why is it that small children are so _____ energetic?,c,1,Why is it that small children are so effective energetic?,Why is it that small children are so vigorous energetic?,Why is it that small children are so active energetic?,Why is it that small children are so busy energetic?,
78254,"Look, there are three _____ in the zoo. ",c,1,"Look, there are three zebra in the zoo.","Look, there are three tiger in the zoo.","Look, there are three lions in the zoo.",,
78255,"When my classmates ask me _____ help, I always help them. ",d,1,"When my classmates ask me on help, I always help them.","When my classmates ask me at help, I always help them.","When my classmates ask me in help, I always help them.","When my classmates ask me for help, I always help them.",
78256,The lecture that Mr. White made this morning left a strong _____ on the students.,a,1,The lecture that Mr. White made this morning left a strong impression on the students.,The lecture that Mr. White made this morning left a strong invention on the students.,The lecture that Mr. White made this morning left a strong interview on the students.,The lecture that Mr. White made this morning left a strong information on the students.,
78257,You _____ listen carefully in class. ,a,1,You should listen carefully in class.,You shouldn't listen carefully in class.,You couldn't listen carefully in class.,,
78258,Some activities can _____ a lot of stress for children. ,a,1,Some activities can cause a lot of stress for children.,Some activities can take a lot of stress for children.,Some activities can push a lot of stress for children.,Some activities can live a lot of stress for children.,
78259,Who likes _____ fish for lunch?,c,1,Who likes eat fish for lunch?,Who likes drinking fish for lunch?,Who likes eating fish for lunch?,,
78260,We have a concert with bands and singers _____ songs. ,c,1,We have a concert with bands and singers perform songs.,We have a concert with bands and singers performed songs.,We have a concert with bands and singers performing songs.,,
78261,"Helen invited six _____ people to dinner, so now 12 people are coming. ",a,1,"Helen invited six additional people to dinner, so now 12 people are coming.","Helen invited six expectant people to dinner, so now 12 people are coming.","Helen invited six unavoidable people to dinner, so now 12 people are coming.","Helen invited six vulnerable people to dinner, so now 12 people are coming.",
78262,The horse _____ a foal. ,b,1,The horse is a foal.,The horse has a foal.,The horse have a foal.,,
78263,"A man with a bleeding hand hurried in and asked, ""Is there hospital around _____ I can get some medicine for my wounded hand? ”",c,1,"A man with a bleeding hand hurried in and asked, ""Is there hospital around that I can get some medicine for my wounded hand? ”","A man with a bleeding hand hurried in and asked, ""Is there hospital around which I can get some medicine for my wounded hand? ”","A man with a bleeding hand hurried in and asked, ""Is there hospital around where I can get some medicine for my wounded hand? ”","A man with a bleeding hand hurried in and asked, ""Is there hospital around what I can get some medicine for my wounded hand? ”",
78264,Enjoy _____ lessons. ,a,1,Enjoy your lessons.,Enjoy we lessons.,Enjoy you lessons.,,
78265, _____ she live in the USA? ,b,1,Is she live in the USA?,Does she live in the USA?,Do she live in the USA?,,
78266,I can't find my eraser. May I use _____ ?,c,1,I can't find my eraser. May I use you ?,I can't find my eraser. May I use your ?,I can't find my eraser. May I use yours ?,I can't find my eraser. May I use yourself ?,
78267,I don't know how to increase my reading _____ /spi:d/. ,c,1,I don't know how to increase my reading spider /spi:d/.,I don't know how to increase my reading spread /spi:d/.,I don't know how to increase my reading speed /spi:d/.,I don't know how to increase my reading shoulder /spi:d/.,
78268,Please tell us about the persons and the places _____ you visited in Shanghai. ,a,1,Please tell us about the persons and the places that you visited in Shanghai.,Please tell us about the persons and the places who you visited in Shanghai.,Please tell us about the persons and the places which you visited in Shanghai.,Please tell us about the persons and the places whom you visited in Shanghai.,
78269,The man ran around the corner and out of _____ . ,c,1,The man ran around the corner and out of see .,The man ran around the corner and out of saw .,The man ran around the corner and out of sight .,The man ran around the corner and out of right .,
